Clave,Descripción
25716056,25716056 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 27/01/2025 - 28/01/2025]  Duración:16 Hrs.
25716055,25716055 - Inducción a la Seguridad e Higiene.  [ 28/01/2025 - 28/01/2025]  Duración:8 Hrs.
25716054,25716054 - MANEJO DE CUERDAS Y NUDOS.  [ 22/01/2025 - 23/01/2025]  Duración:16 Hrs.
25716053,25716053 - MANEJO DE CUERDAS Y NUDOS.  [ 29/01/2025 - 30/01/2025]  Duración:16 Hrs.
25716052,25716052 - Inducción a la Seguridad e Higiene.  [ 21/01/2025 - 21/01/2025]  Duración:8 Hrs.
25692256,25692256 - Inducción Organizacional.  [ 27/01/2025 - 27/01/2025]  Duración:8 Hrs.
25692255,25692255 - Inducción Organizacional.  [ 22/01/2025 - 22/01/2025]  Duración:8 Hrs.
25692254,25692254 - Inducción Organizacional.  [ 29/01/2025 - 29/01/2025]  Duración:8 Hrs.
25692253,25692253 - Inducción Organizacional.  [ 20/01/2025 - 20/01/2025]  Duración:8 Hrs.
25692252,25692252 - Inducción Organizacional.  [ 13/01/2025 - 13/01/2025]  Duración:8 Hrs.
25692251,25692251 - Inducción Organizacional.  [ 08/01/2025 - 08/01/2025]  Duración:8 Hrs.
24802920,24802920 - Riesgo eléctrico.  [ 12/12/2024 - 13/12/2024]  Duración:16 Hrs.
24802919,24802919 - Riesgo eléctrico.  [ 18/12/2024 - 19/12/2024]  Duración:16 Hrs.
24802906,24802906 - Trabajo en alturas.  [ 09/12/2024 - 10/12/2024]  Duración:16 Hrs.
24802905,24802905 - Trabajo en alturas.  [ 16/12/2024 - 17/12/2024]  Duración:16 Hrs.
24800005,24800005 - EMPALME Y MEDICION DE OTDR.  [ 16/12/2024 - 18/12/2024]  Duración:18 Hrs.
24800004,24800004 - EMPALME Y MEDICION DE OTDR.  [ 09/12/2024 - 13/12/2024]  Duración:18 Hrs.
24780208,24780208 - Inducción a la Seguridad e Higiene.  [ 12/03/2024 - 12/03/2024]  Duración:8 Hrs.
24780207,24780207 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 28/02/2024 - 29/02/2024]  Duración:16 Hrs.
24780206,24780206 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 26/02/2024 - 27/02/2024]  Duración:16 Hrs.
24780205,24780205 - MANEJO DE CUERDAS Y NUDOS.  [ 23/02/2024 - 24/02/2024]  Duración:16 Hrs.
24780204,24780204 - Inducción a la Seguridad e Higiene.  [ 22/02/2024 - 22/02/2024]  Duración:8 Hrs.
24780203,24780203 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 14/06/2024 - 15/06/2024]  Duración:16 Hrs.
24780202,24780202 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 18/03/2024 - 19/03/2024]  Duración:16 Hrs.
24780201,24780201 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 12/06/2024 - 13/06/2024]  Duración:16 Hrs.
24780200,24780200 - MANEJO DE CUERDAS Y NUDOS.  [ 17/04/2024 - 18/04/2024]  Duración:16 Hrs.
24780199,24780199 - MANEJO DE CUERDAS Y NUDOS.  [ 05/02/2024 - 06/02/2024]  Duración:16 Hrs.
24780198,24780198 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 24/05/2024 - 25/05/2024]  Duración:16 Hrs.
24780197,24780197 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 12/04/2024 - 13/04/2024]  Duración:16 Hrs.
